"Network","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"DMN","3","93.3333333333333","90","86.6666666666667"
"DMN","30","80","73.3333333333333","70"
"FPN","3","90","96.6666666666667","90"
"FPN","30","90","83.3333333333333","83.3333333333333"
"SN","3","90","83.3333333333333","83.3333333333333"
"SN","30","83.3333333333333","86.6666666666667","80"
"SMN","3","53.3333333333333","53.3333333333333","40"
"SMN","30","63.3333333333333","63.3333333333333","56.6666666666667"
"VN","3","70","70","56.6666666666667"
"VN","30","70","70","63.3333333333333"
"DAN","3","80","93.3333333333333","80"
"DAN","30","96.6666666666667","90","90"
