Network,Day,Accuracy
DMN,3,76.66666667
DMN,30,66.66666667
FPN,3,76.66666667
FPN,30,76.66666667
SN,3,73.33333333
SN,30,60
SMN,3,46.66666667
SMN,30,36.66666667
VN,3,40
VN,30,50
DAN,3,80
DAN,30,83.33333333
