"","Gradient","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"1","G1","3","86.6666666666667","83.3333333333333","83.3333333333333"
"2","G1","30","76.6666666666667","80","73.3333333333333"
"3","G2","3","63.3333333333333","66.6666666666667","53.3333333333333"
"4","G2","30","53.3333333333333","43.3333333333333","36.6666666666667"
"5","G3","3","66.6666666666667","73.3333333333333","56.6666666666667"
"6","G3","30","73.3333333333333","70","66.6666666666667"
