Network,Day,Accuracy
DMN,3,90
DMN,30,73.33333333
FPN,3,96.66666667
FPN,30,83.33333333
SN,3,83.33333333
SN,30,86.66666667
SMN,3,53.33333333
SMN,30,63.33333333
VN,3,70
VN,30,70
DAN,3,93.33333333
DAN,30,90
